plotNo,chamber,date,ID,Vial_number,TimeStep,N2O_area,N2O_conc,cham_V,cham_A,time
1,A,19-Mar,1A19Mar,13,T0,121996,0.420884,0.3645,1,0
1,A,19-Mar,1A19Mar,14,T1,116283,0.398032,0.3645,1,0.33
1,A,19-Mar,1A19Mar,15,T2,127609,0.443336,0.3645,1,0.67
1,B,19-Mar,1B19Mar,16,T0,118736,0.407844,0.3645,1,0
1,B,19-Mar,1B19Mar,17,T1,123867,0.428368,0.3645,1,0.33
1,B,19-Mar,1B19Mar,18,T2,114834,0.392236,0.3645,1,0.67
1,C,19-Mar,1C19Mar,19,T0,110183,0.373632,0.3645,1,0
1,C,19-Mar,1C19Mar,20,T1,130035,0.45304,0.3645,1,0.33
1,C,19-Mar,1C19Mar,21,T2,102403,0.342512,0.3645,1,0.67
1,D,19-Mar,1D19Mar,22,T0,125893,0.436472,0.3645,1,0
1,D,19-Mar,1D19Mar,23,T1,,,0.3645,1,0.33
1,D,19-Mar,1D19Mar,24,T2,98532,0.327028,0.3645,1,0.67
1,A,26-Mar,1A26Mar,25,T0,120064,0.413156,0.3645,1,0
1,A,26-Mar,1A26Mar,26,T1,131377,0.458408,0.3645,1,0.33
1,A,26-Mar,1A26Mar,27,T2,116929,0.400616,0.3645,1,0.67
1,A,26-Mar,1A26Mar,28,T3,114814,0.392156,0.3645,1,1
1,B,26-Mar,1B26Mar,29,T0,138662,0.487548,0.3645,1,0
1,B,26-Mar,1B26Mar,30,T1,123304,0.426116,0.3645,1,0.33
1,B,26-Mar,1B26Mar,31,T2,118529,0.407016,0.3645,1,0.67
1,B,26-Mar,1B26Mar,32,T3,149512,0.530948,0.3645,1,1
1,C,26-Mar,1C26Mar,33,T0,120151,0.413504,0.3645,1,0
1,C,26-Mar,1C26Mar,34,T1,159665,0.57156,0.3645,1,0.33
1,C,26-Mar,1C26Mar,35,T2,123788,0.428052,0.3645,1,0.67
1,C,26-Mar,1C26Mar,36,T3,136883,0.480432,0.3645,1,1
1,D,26-Mar,1D26Mar,37,T0,125583,0.435232,0.3645,1,0
1,D,26-Mar,1D26Mar,38,T1,118120,0.40538,0.3645,1,0.33
1,D,26-Mar,1D26Mar,39,T2,117161,0.401544,0.3645,1,0.67
1,D,26-Mar,1D26Mar,40,T3,158217,0.565768,0.3645,1,1
1,A,02-Apr,1A02Apr,41,T0,116784,0.400036,0.3645,1,0
1,A,02-Apr,1A02Apr,42,T1,120032,0.413028,0.3645,1,0.33
1,A,02-Apr,1A02Apr,43,T2,108426,0.366604,0.3645,1,0.67
1,B,02-Apr,1B02Apr,44,T0,110156,0.373524,0.3645,1,0
1,B,02-Apr,1B02Apr,45,T1,134336,0.470244,0.3645,1,0.33
1,B,02-Apr,1B02Apr,46,T2,123685,0.42764,0.3645,1,0.67
1,C,02-Apr,1C02Apr,47,T0,134512,0.470948,0.3645,1,0
1,C,02-Apr,1C02Apr,48,T1,129892,0.452468,0.3645,1,0.33
1,C,02-Apr,1C02Apr,49,T2,113226,0.385804,0.3645,1,0.67
1,D,02-Apr,1D02Apr,50,T0,114108,0.389332,0.3645,1,0
1,D,02-Apr,1D02Apr,51,T1,108297,0.366088,0.3645,1,0.33
1,D,02-Apr,1D02Apr,52,T2,142555,0.50312,0.3645,1,0.67
2,A,02-Apr,2A02Apr,53,T0,122716,0.423764,0.3645,1,0
2,A ,02-Apr,2A 02Apr,54,T1,118437,0.406648,0.3645,1,0.33
2,A ,02-Apr,2A 02Apr,60,T2,119199,0.409696,0.3645,1,0.67
2,B,02-Apr,2B02Apr,61,T0,105718,0.355772,0.3645,1,0
2,B,02-Apr,2B02Apr,63,T1,101888,0.340452,0.3645,1,0.33
2,B,02-Apr,2B02Apr,64,T2,118166,0.405564,0.3645,1,0.67
2,C,02-Apr,2C02Apr,65,T0,103546,0.347084,0.3645,1,0
2,C,02-Apr,2C02Apr,66,T1,95470,0.31478,0.3645,1,0.33
2,C,02-Apr,2C02Apr,67,T2,145110,0.51334,0.3645,1,0.67
2,D,02-Apr,2D02Apr,68,T0,119884,0.412436,0.3645,1,0
2,D,02-Apr,2D02Apr,69,T1,119906,0.412524,0.3645,1,0.33
2,D,02-Apr,2D02Apr,70,T2,113836,0.388244,0.3645,1,0.67
